timestamp,user_id,query,intent
2024-01-01 00:13:48,USER_1223,is printer compatible with,product_info
2024-01-01 01:08:19,USER_4670,two-factor authentication issue,account_related
2024-01-01 01:31:13,USER_3069,product comparison needed,product_info
2024-01-01 02:44:43,USER_9747,payment confirmation needed,billing_payment
2024-01-01 05:09:56,USER_6844,technical details for headphones,product_info
2024-01-01 05:17:41,USER_4938,subscription billing question,billing_payment
2024-01-01 05:40:03,USER_5488,how to return smartphone,returns_refunds
2024-01-01 07:38:39,USER_8611,accepted payment methods,billing_payment
2024-01-01 08:31:28,USER_4803,international payment issues,billing_payment
2024-01-01 08:58:17,USER_9285,recover username please,account_related
2024-01-01 10:59:58,USER_7798,modify automatic payments,billing_payment
2024-01-01 11:04:24,USER_3202,payment plan options,billing_payment
2024-01-01 15:24:24,USER_3621,weekend delivery available?,shipping_delivery
2024-01-01 17:27:23,USER_7825,product comparison needed,product_info
2024-01-01 17:46:00,USER_5153,refund timeline,returns_refunds
2024-01-01 19:47:52,USER_2486,delivery instructions update,shipping_delivery
2024-01-01 21:35:37,USER_1491,suspicious activity on account,account_related
2024-01-01 23:10:05,USER_9926,how do I change my password,account_related
2024-01-02 09:29:30,USER_9585,router availability,product_info
2024-01-02 11:51:43,USER_3604,international shipping query,shipping_delivery
2024-01-02 14:50:45,USER_5135,accepted payment methods,billing_payment
2024-01-02 15:18:27,USER_7947,cancel return request,returns_refunds
2024-01-02 15:32:50,USER_6517,payment declined since morning,billing_payment
2024-01-02 16:57:42,USER_7344,exchange size/color,returns_refunds
2024-01-02 18:55:52,USER_8160,return policy extension,returns_refunds
2024-01-02 19:32:32,USER_3216,expedite shipping possible?,shipping_delivery
2024-01-02 21:39:26,USER_1226,suspicious activity on account,account_related
2024-01-02 22:03:49,USER_7355,product dimensions please,product_info
2024-01-02 22:58:10,USER_6950,package lost in transit,shipping_delivery
2024-01-02 23:29:04,USER_3496,change shipping method,shipping_delivery
2024-01-02 23:46:37,USER_5746,refund policy,returns_refunds
2024-01-03 00:28:56,USER_7963,international shipping query,shipping_delivery
2024-01-03 01:09:28,USER_6456,multiple package tracking,shipping_delivery
2024-01-03 01:14:07,USER_8652,weekend delivery available?,shipping_delivery
2024-01-03 02:43:43,USER_8911,payment processing time,billing_payment
2024-01-03 03:17:04,USER_4468,smartwatch maintenance tips,product_info
2024-01-03 03:19:24,USER_5036,return window extension,returns_refunds
2024-01-03 06:40:00,USER_5861,reset password link not received,account_related
2024-01-03 07:53:00,USER_9863,need to update account details,account_related
2024-01-03 08:12:38,USER_4693,difference between headphones models,product_info
2024-01-03 08:31:26,USER_6027,refund policy,returns_refunds
2024-01-03 11:21:18,USER_9330,international payment issues,billing_payment
2024-01-03 11:41:54,USER_8272,missed delivery just now,shipping_delivery
2024-01-03 12:21:08,USER_3775,international payment issues,billing_payment
2024-01-03 12:51:31,USER_9936,return policy extension,returns_refunds
2024-01-03 14:51:35,USER_2799,invoice request,billing_payment
2024-01-03 17:57:22,USER_5181,missed delivery this morning,shipping_delivery
2024-01-03 19:15:19,USER_8685,where is my order #581139,shipping_delivery
2024-01-03 21:33:35,USER_5271,return window extension,returns_refunds
2024-01-03 22:24:15,USER_2416,refund policy,returns_refunds
2024-01-04 05:28:45,USER_7481,return policy extension,returns_refunds
2024-01-04 06:37:29,USER_8553,need to update account details,account_related
2024-01-04 08:01:58,USER_2238,tablet maintenance tips,product_info
2024-01-04 08:47:27,USER_9318,missed delivery yesterday,shipping_delivery
2024-01-04 09:46:27,USER_5286,modify automatic payments,billing_payment
2024-01-04 10:23:35,USER_5072,subscription billing question,billing_payment
2024-01-04 10:44:04,USER_6070,is gaming console compatible with,product_info
2024-01-04 11:36:06,USER_7208,charge on my card,billing_payment
2024-01-04 15:02:08,USER_1879,suspicious activity on account,account_related
2024-01-04 17:52:56,USER_1259,damaged item return,returns_refunds
2024-01-04 20:02:03,USER_8871,password reset not working few hours back,account_related
2024-01-04 21:00:26,USER_7467,payment plan options,billing_payment
2024-01-05 01:24:42,USER_6409,payment declined few hours back,billing_payment
2024-01-05 03:17:29,USER_7282,color options for speaker,product_info
2024-01-05 03:19:31,USER_5187,subscription billing question,billing_payment
2024-01-05 06:10:32,USER_1758,return without receipt,returns_refunds
2024-01-05 08:51:06,USER_8765,payment confirmation needed,billing_payment
2024-01-05 09:14:12,USER_9786,payment declined an hour ago,billing_payment
2024-01-05 14:44:34,USER_7435,refund status for order #778451,billing_payment
2024-01-05 14:46:56,USER_3460,shipping status for order #648749,shipping_delivery
2024-01-05 15:45:37,USER_5196,color options for fitness tracker,product_info
2024-01-05 19:41:47,USER_9494,exchange process,returns_refunds
